 ****  Molecular Integrals For CheMPS Start Here 
 Symmetry Label = ci 
 Nirreps = 2 
 Nuclear Repulsion Energy = 125.7780076248893124 
 Number Of Molecular Orbitals = 8 
 Irreps Of Molecular Orbitals = 
 0 1 0 1 0 1 0 1 0 1 0 1 0 1 
 ...
 ...
 ****  MO OEI
 2 5 2 1 -0.1976950719
 5 2 1 2 -0.1976950719
 2 5 1 2 -0.1976950719
 2 1 5 2 -0.1976950719
 2 1 2 5 -0.1976950719
 1 2 5 2 -0.1976950719
 1 2 2 5 -0.1976950719
 5 2 3 0 0.3855904663
 2 5 3 0 0.3855904663
 5 2 0 3 0.3855904663
 2 5 0 3 0.3855904663
 3 0 5 2 0.3855904663
 3 0 2 5 0.3855904663
 0 3 5 2 0.3855904663
 0 3 2 5 0.3855904663
 5 2 3 2 0.0317378026
 2 5 3 2 0.0317378026
 5 2 2 3 0.0317378026
 2 5 2 3 0.0317378026
 3 2 5 2 0.0317378026
 3 2 2 5 0.0317378026
 2 3 5 2 0.0317378026
 2 3 2 5 0.0317378026
 5 2 4 1 -0.3685299481
 2 5 4 1 -0.3685299481
 5 2 1 4 -0.3685299481
 2 5 1 4 -0.3685299481
 4 1 5 2 -0.3685299481
 4 1 2 5 -0.3685299481
 1 4 5 2 -0.3685299481
 1 4 2 5 -0.3685299481
 5 2 4 3 0.2812850236
 2 5 4 3 0.2812850236
 5 2 3 4 0.2812850236
 2 5 3 4 0.2812850236
 4 3 5 2 0.2812850236
 4 3 2 5 0.2812850236
 3 4 5 2 0.2812850236
 3 4 2 5 0.2812850236
 5 2 5 0 0.1203571336
 2 5 5 0 0.1203571336
 5 2 0 5 0.1203571336
 2 5 0 5 0.1203571336
 5 0 5 2 0.1203571336
 5 0 2 5 0.1203571336
 0 5 5 2 0.1203571336
 0 5 2 5 0.1203571336
 5 2 5 2 0.6257618371
 2 5 5 2 0.6257618371
 5 2 2 5 0.6257618371
 2 5 2 5 0.6257618371
 5 3 0 0 -0.7683900975
 3 5 0 0 -0.7683900975
 5 3 0 0 -0.7683900975
 3 5 0 0 -0.7683900975
 0 0 5 3 -0.7683900975
 0 0 3 5 -0.7683900975
 0 0 5 3 -0.7683900975
 0 0 3 5 -0.7683900975
 5 3 1 1 -0.1271515299
 3 5 1 1 -0.1271515299
 5 3 1 1 -0.1271515299
 3 5 1 1 -0.1271515299
 1 1 5 3 -0.1271515299
 1 1 3 5 -0.1271515299
 1 1 5 3 -0.1271515299
 1 1 3 5 -0.1271515299
 5 3 2 0 0.6148273759
 3 5 2 0 0.6148273759
 5 3 0 2 0.6148273759
 3 5 0 2 0.6148273759
 2 0 5 3 0.6148273759
 2 0 3 5 0.6148273759
 0 2 5 3 0.6148273759
 0 2 3 5 0.6148273759
 5 3 2 2 -0.1052977917
 3 5 2 2 -0.1052977917
 5 3 2 2 -0.1052977917
 3 5 2 2 -0.1052977917
 2 2 5 3 -0.1052977917
 2 2 3 5 -0.1052977917
 2 2 5 3 -0.1052977917
 2 2 3 5 -0.1052977917
 5 3 3 1 -0.5683547636
 3 5 3 1 -0.5683547636
 5 3 1 3 -0.5683547636
 3 5 1 3 -0.5683547636
 3 1 5 3 -0.5683547636
 3 1 3 5 -0.5683547636
 1 3 5 3 -0.5683547636
 1 3 3 5 -0.5683547636
 5 3 3 3 -0.3788990796
 3 5 3 3 -0.3788990796
 5 3 3 3 -0.3788990796
 3 5 3 3 -0.3788990796
 3 3 5 3 -0.3788990796
 3 3 3 5 -0.3788990796
 3 3 5 3 -0.3788990796
 3 3 3 5 -0.3788990796
 5 3 4 0 -0.1311563884
 3 5 4 0 -0.1311563884
 5 3 0 4 -0.1311563884
 3 5 0 4 -0.1311563884
 4 0 5 3 -0.1311563884
 4 0 3 5 -0.1311563884
 0 4 5 3 -0.1311563884
 0 4 3 5 -0.1311563884
 5 3 4 2 0.6322254951
 3 5 4 2 0.6322254951
 5 3 2 4 0.6322254951
 3 5 2 4 0.6322254951
 4 2 5 3 0.6322254951
 4 2 3 5 0.6322254951
 2 4 5 3 0.6322254951
 2 4 3 5 0.6322254951
 5 3 4 4 -0.3788990796
 3 5 4 4 -0.3788990796
 5 3 4 4 -0.3788990796
 3 5 4 4 -0.3788990796
 4 4 5 3 -0.3788990796
 4 4 3 5 -0.3788990796
 4 4 5 3 -0.3788990796
 4 4 3 5 -0.3788990796
 5 3 5 1 -0.1861647198
 3 5 5 1 -0.1861647198
 5 3 1 5 -0.1861647198
 3 5 1 5 -0.1861647198
 5 1 5 3 -0.1861647198
 5 1 3 5 -0.1861647198
 1 5 5 3 -0.1861647198
 1 5 3 5 -0.1861647198
 5 3 5 3 0.6322254951
 3 5 5 3 0.6322254951
 5 3 3 5 0.6322254951
 3 5 3 5 0.6322254951
 5 4 1 0 -1.4839958765
 4 5 1 0 -1.4839958765
 5 4 0 1 -1.4839958765
 4 5 0 1 -1.4839958765
 1 0 5 4 -1.4839958765
 1 0 4 5 -1.4839958765
 0 1 5 4 -1.4839958765
 0 1 4 5 -1.4839958765
 5 4 2 1 -1.2666282075
 4 5 2 1 -1.2666282075
 5 4 1 2 -1.2666282075
 4 5 1 2 -1.2666282075
 2 1 5 4 -1.2666282075
 2 1 4 5 -1.2666282075
 1 2 5 4 -1.2666282075
 1 2 4 5 -1.2666282075
 5 4 3 0 -0.2395303142
 4 5 3 0 -0.2395303142
 5 4 0 3 -0.2395303142
 4 5 0 3 -0.2395303142
 3 0 5 4 -0.2395303142
 3 0 4 5 -0.2395303142
 0 3 5 4 -0.2395303142
 0 3 4 5 -0.2395303142
 5 4 3 2 1.4877426959
 4 5 3 2 1.4877426959
 5 4 2 3 1.4877426959
 4 5 2 3 1.4877426959
 3 2 5 4 1.4877426959
 3 2 4 5 1.4877426959
 2 3 5 4 1.4877426959
 2 3 4 5 1.4877426959
 5 4 4 1 0.1444178131
 4 5 4 1 0.1444178131
 5 4 1 4 0.1444178131
 4 5 1 4 0.1444178131
 4 1 5 4 0.1444178131
 4 1 4 5 0.1444178131
 1 4 5 4 0.1444178131
 1 4 4 5 0.1444178131
 5 4 4 3 0.7952793089
 4 5 4 3 0.7952793089
 5 4 3 4 0.7952793089
 4 5 3 4 0.7952793089
 4 3 5 4 0.7952793089
 4 3 4 5 0.7952793089
 3 4 5 4 0.7952793089
 3 4 4 5 0.7952793089
 5 4 5 0 0.0325622504
 4 5 5 0 0.0325622504
 5 4 0 5 0.0325622504
 4 5 0 5 0.0325622504
 5 0 5 4 0.0325622504
 5 0 4 5 0.0325622504
 0 5 5 4 0.0325622504
 0 5 4 5 0.0325622504
 5 4 5 2 0.0317378026
 4 5 5 2 0.0317378026
 5 4 2 5 0.0317378026
 4 5 2 5 0.0317378026
 5 2 5 4 0.0317378026
 5 2 4 5 0.0317378026
 2 5 5 4 0.0317378026
 2 5 4 5 0.0317378026
 5 4 5 4 1.4877426959
 4 5 5 4 1.4877426959
 5 4 4 5 1.4877426959
 4 5 4 5 1.4877426959
 5 5 0 0 5.1243858702
 0 0 5 5 5.1243858702
 5 5 1 1 5.1377054189
 1 1 5 5 5.1377054189
 5 5 2 0 0.0198738597
 5 5 2 0 0.0198738597
 5 5 0 2 0.0198738597
 5 5 0 2 0.0198738597
 2 0 5 5 0.0198738597
 2 0 5 5 0.0198738597
 0 2 5 5 0.0198738597
 0 2 5 5 0.0198738597
 5 5 2 2 5.1647233392
 2 2 5 5 5.1647233392
 5 5 3 1 -0.0547325549
 5 5 3 1 -0.0547325549
